schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	ICICI Bank Ltd	Financial Services	426.15	6.52	-10.17	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Treps		424.27	6.50		Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	HDFC Bank Ltd	Financial Services	384.90	5.89	8.91	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Sun Pharmaceuticals Industries Ltd	Healthcare	364.02	5.57	-1.96	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	NTPC Ltd	Utilities	333.99	5.11	-17.49	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Axis Bank Ltd	Financial Services	298.64	4.57	0.00	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Maruti Suzuki India Ltd	Consumer Cyclical	239.21	3.66	0.00	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Reliance Industries Ltd	Energy	214.51	3.28	0.00	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Larsen & Toubro Ltd	Industrials	212.87	3.26	0.00	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	InterGlobe Aviation Ltd	Industrials	195.75	3.00	0.00	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Oil & Natural Gas Corp Ltd	Energy	175.03	2.68	-13.93	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	UltraTech Cement Ltd	Basic Materials	165.98	2.54	0.00	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Bharti Airtel Ltd	Communication Services	139.42	2.13	0.00	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Britannia Industries Ltd	Consumer Defensive	133.60	2.05	7.85	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	July25	9.19
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Cummins India Ltd	Industrials	133.29	2.04	0.00	Aug25	8.13
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	Oct24	5.55
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	Nov24	7.52
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	Dec24	3.56
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	Jan25	5.32
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	Feb25	5.59
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	Mar25	15.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	Apr25	12.51
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	May25	11.15
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	June25	10.18
ICICI Pru Dividend Yield Eq Dir Gr	INF109KA1UA0	Tata Consultancy Services Ltd	Technology	128.45	1.97	47.08	July25	9.19
